tid,sid,lat,lon,time,angle,speed,label
1,1,-3.794,-34.928,1082080800,1.03,4.57,NOT_FISHING
1,1,-3.66,-34.928,1082084400,0,4.14,NOT_FISHING
1,1,-3.601,-34.932,1082086500,356.1291,3.13,NOT_FISHING
1,1,-3.538,-34.93,1082088000,1.8148,4.67,NOT_FISHING
1,1,-3.483,-34.929,1082089380,1.0397,4.43,NOT_FISHING
1,1,-3.389,-34.924,1082091600,3.0395,4.71,NOT_FISHING
1,1,-3.353,-34.923,1082092500,1.5884,4.45,NOT_FISHING
1,1,-3.238,-34.917,1082095200,2.9819,4.74,NOT_FISHING
1,1,-3.117,-34.916,1082098080,0.4728,4.67,NOT_FISHING
1,1,-3.087,-34.916,1082098800,0,4.63,NOT_FISHING
1,1,-2.935,-34.912,1082102400,1.5055,4.7,NOT_FISHING
1,1,-2.845,-34.909,1082104560,1.9068,4.64,NOT_FISHING
1,1,-2.784,-34.908,1082106000,0.9381,4.71,NOT_FISHING
1,1,-2.629,-34.905,1082109660,1.1076,4.71,NOT_FISHING
1,1,-2.592,-34.908,1082110500,355.3693,4.91,NOT_FISHING
1,1,-2.475,-34.916,1082113200,356.0921,4.83,NOT_FISHING
1,1,-2.373,-34.923,1082115600,356.0774,4.74,NOT_FISHING
1,1,-2.322,-34.926,1082116800,356.6363,4.73,NOT_FISHING
1,1,-2.278,-34.927,1082117880,358.6991,4.53,NOT_FISHING
1,1,-2.168,-34.933,1082120400,356.8801,4.86,NOT_FISHING
1,1,-2.026,-34.939,1082123760,357.582,4.7,NOT_FISHING
1,1,-1.888,-34.928,1082127180,4.555,4.5,NOT_FISHING
1,1,-1.72,-34.937,1082131200,356.9349,4.65,NOT_FISHING
1,1,-1.655,-34.945,1082132760,352.9864,4.67,NOT_FISHING
1,1,-1.574,-34.937,1082134800,5.6384,4.44,NOT_FISHING
1,1,-1.429,-34.923,1082138400,5.5132,4.5,NOT_FISHING
1,1,-1.327,-34.918,1082140920,2.8056,4.51,NOT_FISHING
1,1,-1.284,-34.916,1082142000,2.6623,4.43,NOT_FISHING
1,1,-1.206,-34.919,1082144040,357.7979,4.25,NOT_FISHING
1,1,-1.142,-34.915,1082145600,3.5756,4.57,NOT_FISHING
1,1,-1.003,-34.918,1082149200,358.7638,4.29,NOT_FISHING
1,1,-0.965,-34.921,1082150280,355.4866,3.92,NOT_FISHING
1,1,-0.87,-34.924,1082152800,358.1915,4.19,NOT_FISHING
1,1,-0.732,-34.925,1082156400,359.5849,4.26,NOT_FISHING
1,1,-0.698,-34.924,1082157360,1.6846,3.94,NOT_FISHING
1,1,-0.594,-34.921,1082160000,1.6522,4.38,NOT_FISHING
1,1,-0.569,-34.92,1082160720,2.2905,3.86,NOT_FISHING
1,1,-0.459,-34.919,1082163600,0.5208,4.25,NOT_FISHING
1,1,-0.322,-34.914,1082167200,2.0901,4.23,NOT_FISHING
1,1,-0.249,-34.911,1082169180,2.3533,4.1,NOT_FISHING
1,1,-0.186,-34.908,1082170800,2.7263,4.33,NOT_FISHING
1,1,-0.186,-34.906,1082171700,90,0.25,NOT_FISHING
1,1,-0.099,-34.906,1082174400,0,3.58,NOT_FISHING
1,1,0.03,-34.9,1082177880,2.663,4.13,NOT_FISHING
1,1,0.171,-34.89,1082181600,4.0567,4.23,NOT_FISHING
1,1,0.263,-34.889,1082184060,0.6227,4.16,NOT_FISHING
1,1,0.306,-34.89,1082185200,358.6678,4.2,NOT_FISHING
1,1,0.444,-34.891,1082188800,359.5848,4.26,NOT_FISHING
1,1,0.498,-34.893,1082190240,357.879,4.17,NOT_FISHING
1,1,0.582,-34.894,1082192400,359.318,4.32,NOT_FISHING
1,1,0.662,-34.896,1082194500,358.568,4.24,NOT_FISHING
1,2,0.725,-34.896,1082196240,0,4.03,FISHING
1,2,0.861,-34.9,1082199600,358.3155,4.5,FISHING
1,2,0.892,-34.903,1082200440,354.4731,4.12,FISHING
1,2,0.992,-34.905,1082202960,358.8544,4.41,FISHING
1,2,1.137,-34.905,1082206620,0,4.41,FISHING
1,2,1.211,-34.926,1082208900,344.1603,3.75,FISHING
1,2,1.263,-34.954,1082210400,331.7051,4.38,FISHING
1,2,1.346,-34.994,1082212800,334.2756,4.27,FISHING
1,2,1.357,-35.03,1082214000,286.9957,3.49,FISHING
1,2,1.283,-35.092,1082217300,219.9508,3.25,FISHING
1,2,1.18,-35.048,1082220420,156.8729,3.99,FISHING
1,2,1.153,-35.036,1082221200,156.0418,4.21,FISHING
1,2,1.069,-34.996,1082223840,154.5404,3.92,FISHING
1,2,1.036,-34.979,1082224800,152.7485,4.3,FISHING
1,2,0.986,-34.96,1082226300,159.196,3.97,FISHING
1,2,0.916,-34.934,1082228400,159.6259,3.95,FISHING
1,2,0.872,-34.923,1082229720,165.9653,3.82,FISHING
1,2,0.811,-34.875,1082232000,141.804,3.79,FISHING
1,2,0.747,-34.749,1082235900,116.9289,4.03,FISHING
1,2,0.709,-34.719,1082239620,141.7119,1.45,FISHING
1,2,0.71,-34.701,1082242800,86.8198,0.63,FISHING
1,2,0.76,-34.697,1082246400,4.5735,1.55,FISHING
1,2,0.794,-34.71,1082247780,339.0773,2.93,FISHING
1,2,0.845,-34.702,1082250000,8.914,2.59,FISHING
1,2,0.901,-34.706,1082252520,355.9149,2.48,FISHING
1,2,0.919,-34.698,1082253600,23.9597,2.03,FISHING
1,2,0.932,-34.698,1082254260,0,2.19,FISHING
1,2,1.009,-34.693,1082257200,3.7147,2.92,FISHING
1,2,1.101,-34.707,1082260140,351.349,3.52,FISHING
1,2,1.112,-34.709,1082260800,349.6971,1.88,FISHING
1,2,1.165,-34.725,1082263260,343.2049,2.5,FISHING
1,2,1.189,-34.735,1082264400,337.3845,2.54,FISHING
1,2,1.274,-34.778,1082268000,333.1717,2.94,FISHING
1,2,1.271,-34.804,1082269140,263.4167,2.55,FISHING
1,2,1.233,-34.858,1082271600,234.86,2.98,FISHING
1,2,1.212,-34.845,1082272200,148.2462,4.58,FISHING
1,3,1.104,-34.779,1082275200,148.575,4.69,NOT_FISHING
1,3,1.064,-34.769,1082276160,165.9661,4.78,NOT_FISHING
1,3,0.955,-34.747,1082278800,168.5905,4.68,NOT_FISHING
1,4,0.844,-34.769,1082281800,191.2095,4.19,FISHING
1,4,0.682,-34.82,1082286000,197.4737,4.5,FISHING
1,4,0.625,-34.835,1082287380,194.7427,4.75,FISHING
1,4,0.536,-34.86,1082289600,195.6894,4.63,FISHING
1,4,0.444,-34.883,1082291940,194.0359,4.51,FISHING
1,4,0.393,-34.897,1082293200,195.3498,4.67,FISHING
1,4,0.364,-34.903,1082293920,191.6891,4.57,FISHING
1,4,0.318,-34.972,1082296800,236.3097,3.2,FISHING
1,4,0.352,-35.009,1082298120,312.5811,4.23,FISHING
1,4,0.419,-35.067,1082300400,319.119,4.32,FISHING
1,4,0.459,-35.043,1082302620,30.9629,2.34,FISHING
1,4,0.487,-35.005,1082304000,53.6146,3.8,FISHING
1,4,0.528,-34.95,1082305980,53.2958,3.85,FISHING
1,4,0.562,-34.906,1082307600,52.3043,3.82,FISHING
1,4,0.58,-34.882,1082308560,53.1286,3.47,FISHING
1,4,0.635,-34.809,1082311200,53.0028,3.85,FISHING
1,4,0.65,-34.789,1082311980,53.1283,3.56,FISHING
1,4,0.715,-34.692,1082315340,56.1714,3.86,FISHING
1,4,0.788,-34.639,1082318400,35.978,3.28,FISHING
1,4,0.771,-34.621,1082321280,133.3659,0.96,FISHING
1,4,0.771,-34.62,1082322000,90,0.15,FISHING
1,4,0.781,-34.605,1082324940,56.3074,0.68,FISHING
1,4,0.78,-34.604,1082325600,135.0027,0.24,FISHING
1,4,0.771,-34.59,1082329200,122.7375,0.51,FISHING
1,4,0.729,-34.573,1082332860,157.9654,1.38,FISHING
1,4,0.622,-34.596,1082336400,192.1306,3.44,FISHING
1,4,0.596,-34.602,1082337900,192.9939,1.98,FISHING
1,4,0.555,-34.604,1082339280,182.7926,3.31,FISHING
1,4,0.545,-34.606,1082340000,191.3094,1.57,FISHING
1,4,0.447,-34.646,1082343780,202.2029,3.11,FISHING
1,4,0.364,-34.651,1082347200,183.4473,2.7,FISHING
1,4,0.343,-34.659,1082348040,200.8541,2.97,FISHING
1,4,0.261,-34.681,1082350800,195.0182,3.42,FISHING
1,4,0.297,-34.746,1082353920,298.9802,2.65,FISHING
1,4,0.369,-34.788,1082358000,329.7441,2.27,FISHING
1,4,0.36,-34.744,1082361600,101.5602,1.39,FISHING
1,5,0.333,-34.603,1082365200,100.8401,4.43,NOT_FISHING
1,5,0.399,-34.528,1082367720,48.6514,4.41,NOT_FISHING
1,6,0.437,-34.527,1082368800,1.5074,3.91,FISHING
1,6,0.492,-34.571,1082370540,321.3413,4.5,FISHING
1,6,0.471,-34.627,1082372400,249.4435,3.58,FISHING
1,6,0.479,-34.748,1082376180,273.7833,3.57,FISHING
1,6,0.511,-34.807,1082377860,298.4754,4.44,FISHING
1,6,0.502,-34.845,1082378940,256.6751,4.02,FISHING
1,6,0.486,-34.866,1082379600,232.6951,4.45,FISHING
1,6,0.422,-34.967,1082383200,237.6387,3.69,FISHING
1,6,0.463,-35.002,1082384580,319.515,4.34,FISHING
1,6,0.532,-35.06,1082386800,319.9516,4.51,FISHING
1,6,0.649,-35.081,1082389920,349.8251,4.24,FISHING
2,6,0.612,-34.96,1082393880,107.0032,3.55,FISHING
2,6,0.578,-34.832,1082397780,104.8758,3.78,FISHING
2,6,0.565,-34.777,1082399460,103.2989,3.74,FISHING
2,6,0.554,-34.717,1082401200,100.389,3.9,FISHING
2,6,0.533,-34.595,1082404800,99.7665,3.82,FISHING
2,6,0.517,-34.521,1082407140,102.2006,3.6,FISHING
2,6,0.497,-34.484,1082408400,118.3938,3.71,FISHING
2,6,0.461,-34.399,1082412000,112.9544,2.85,FISHING
2,6,0.456,-34.364,1082415600,98.1302,1.09,FISHING
2,6,0.479,-34.35,1082417880,31.3278,1.31,FISHING
2,6,0.494,-34.382,1082419200,295.1158,2.98,FISHING
2,6,0.463,-34.438,1082421480,241.0317,3.12,FISHING
2,6,0.457,-34.467,1082422800,258.3104,2.49,FISHING
2,6,0.467,-34.491,1082423760,292.6206,3.01,FISHING
2,6,0.506,-34.564,1082426400,298.1144,3.49,FISHING
2,6,0.498,-34.637,1082429640,263.746,2.52,FISHING
2,6,0.437,-34.7,1082432760,225.9234,3.13,FISHING
2,6,0.429,-34.71,1082433600,231.3394,1.7,FISHING
2,6,0.471,-34.797,1082437200,295.7704,2.98,FISHING
2,6,0.517,-34.825,1082438940,328.6724,3.44,FISHING
2,6,0.558,-34.845,1082440800,333.9977,2.73,FISHING
2,6,0.612,-34.847,1082442840,357.879,2.95,FISHING
2,6,0.642,-34.824,1082444400,37.4744,2.69,FISHING
2,7,0.71,-34.717,1082447640,57.561,4.35,NOT_FISHING
2,7,0.791,-34.591,1082451600,57.2617,4.21,NOT_FISHING
2,7,0.828,-34.526,1082453580,60.3472,4.2,NOT_FISHING
2,7,0.864,-34.467,1082455260,58.6065,4.57,NOT_FISHING
2,7,0.942,-34.341,1082458800,58.2364,4.65,NOT_FISHING
2,7,0.993,-34.257,1082461200,58.7319,4.55,NOT_FISHING
2,7,1.021,-34.214,1082462400,56.9249,4.75,NOT_FISHING
2,7,1.043,-34.178,1082463420,58.566,4.6,NOT_FISHING
2,7,1.103,-34.088,1082466000,56.3045,4.66,NOT_FISHING
2,7,1.189,-33.963,1082469900,55.4654,4.33,NOT_FISHING
2,7,1.246,-33.879,1082472720,55.8334,4,NOT_FISHING
2,7,1.309,-33.776,1082475540,58.5405,4.76,NOT_FISHING
2,7,1.339,-33.729,1082476800,57.4425,4.92,NOT_FISHING
2,7,1.372,-33.675,1082478300,58.5627,4.69,NOT_FISHING
2,7,1.42,-33.602,1082480400,56.665,4.63,NOT_FISHING
2,7,1.497,-33.503,1082483400,52.1148,4.65,NOT_FISHING
2,7,1.529,-33.469,1082484480,46.7253,4.81,NOT_FISHING
2,7,1.612,-33.364,1082487600,51.6626,4.77,NOT_FISHING
2,7,1.702,-33.242,1082491200,53.5704,4.68,NOT_FISHING
2,7,1.738,-33.194,1082492640,53.117,4.63,NOT_FISHING
2,7,1.76,-33.167,1082493480,50.8129,4.61,NOT_FISHING
2,7,1.794,-33.122,1082494800,52.913,4.75,NOT_FISHING
2,7,1.889,-32.982,1082498880,55.8243,4.61,NOT_FISHING
2,7,1.968,-32.877,1082502000,53.0255,4.68,NOT_FISHING
2,7,1.99,-32.849,1082502840,51.8257,4.71,NOT_FISHING
2,7,2.061,-32.757,1082505600,52.3223,4.68,NOT_FISHING
2,7,2.129,-32.647,1082508780,58.2573,4.52,NOT_FISHING
2,7,2.221,-32.526,1082512800,52.731,4.2,NOT_FISHING
2,7,2.279,-32.45,1082515260,52.6279,4.32,NOT_FISHING
2,7,2.307,-32.414,1082516400,52.1021,4.45,NOT_FISHING
2,7,2.338,-32.372,1082517780,53.5458,4.2,NOT_FISHING
2,7,2.389,-32.304,1082520000,53.1053,4.26,NOT_FISHING
2,7,2.455,-32.216,1082522880,53.1037,4.24,NOT_FISHING
2,7,2.475,-32.188,1082523720,54.4366,4.55,NOT_FISHING
2,7,2.49,-32.076,1082527200,82.3623,3.61,NOT_FISHING
2,7,2.485,-32.009,1082529060,94.2704,4.01,NOT_FISHING
2,7,2.481,-31.943,1082530800,93.4701,4.22,NOT_FISHING
2,7,2.475,-31.852,1082533260,93.7738,4.12,NOT_FISHING
2,7,2.472,-31.81,1082534400,94.0885,4.1,NOT_FISHING
2,7,2.525,-31.761,1082538000,42.726,2.23,NOT_FISHING
2,7,2.558,-31.738,1082539140,34.8484,3.92,NOT_FISHING
2,7,2.545,-31.712,1082540280,116.5872,2.83,NOT_FISHING
2,8,2.504,-31.687,1082541600,148.6512,4.04,FISHING
2,8,2.413,-31.601,1082545200,136.6426,3.87,FISHING
2,8,2.424,-31.565,1082546220,72.9941,4.1,FISHING
2,8,2.443,-31.483,1082548800,76.9413,3.62,FISHING
2,8,2.372,-31.372,1082552400,122.6252,4.07,FISHING
2,8,2.391,-31.297,1082554680,75.7708,3.77,FISHING
2,8,2.431,-31.26,1082556000,42.7428,4.59,FISHING
2,8,2.472,-31.157,1082559600,68.2743,3.42,FISHING
2,8,2.433,-31.118,1082561160,135.0254,3.93,FISHING
2,8,2.394,-31.078,1082562840,134.2993,3.7,FISHING
2,8,2.403,-31.198,1082566800,274.2954,3.38,FISHING
2,8,2.416,-31.285,1082569320,278.5078,3.88,FISHING
2,8,2.423,-31.326,1082570400,279.6981,4.28,FISHING
2,8,2.436,-31.414,1082572980,278.4127,3.83,FISHING
2,8,2.447,-31.451,1082574000,286.5721,4.2,FISHING
2,8,2.498,-31.565,1082577600,294.1246,3.85,FISHING
2,8,2.507,-31.587,1082578260,292.2687,4,FISHING
2,8,2.521,-31.613,1082579100,298.3244,3.91,FISHING
2,8,2.577,-31.646,1082581200,329.5153,3.44,FISHING
2,8,2.583,-31.659,1082585340,294.7975,0.38,FISHING
2,8,2.599,-31.63,1082588400,61.088,1.2,FISHING
2,8,2.558,-31.588,1082591520,134.3378,2.09,FISHING
2,8,2.587,-31.532,1082593800,62.5974,3.07,FISHING
2,8,2.596,-31.507,1082594640,70.1819,3.51,FISHING
2,8,2.586,-31.478,1082595600,109.043,3.55,FISHING
2,8,2.524,-31.401,1082599200,128.867,3.05,FISHING
2,8,2.516,-31.38,1082599980,110.8724,3.2,FISHING
2,8,2.508,-31.351,1082601060,105.4357,3.09,FISHING
2,8,2.528,-31.305,1082602740,66.4802,3.32,FISHING
2,8,2.611,-31.232,1082606400,41.302,3.36,FISHING
2,8,2.611,-31.165,1082608620,89.9985,3.35,FISHING
2,8,2.579,-31.133,1082610000,135.0287,3.64,FISHING
2,8,2.573,-31.137,1082613600,213.6634,0.22,FISHING
2,9,2.596,-31.168,1082614560,306.6016,4.47,NOT_FISHING
2,9,2.663,-31.259,1082617200,306.3938,4.76,NOT_FISHING
2,9,2.702,-31.308,1082618760,308.5487,4.46,NOT_FISHING
2,9,2.711,-31.31,1082620800,347.4848,0.5,NOT_FISHING
2,9,2.748,-31.38,1082624400,297.8882,2.44,NOT_FISHING
2,9,2.744,-31.412,1082625240,262.8676,4.26,NOT_FISHING
2,9,2.699,-31.507,1082628000,244.6311,4.23,NOT_FISHING
2,9,2.651,-31.634,1082631420,249.2781,4.41,NOT_FISHING
2,10,2.593,-31.693,1082633940,225.461,3.65,FISHING
2,10,2.549,-31.699,1082635200,187.7576,3.92,FISHING
2,10,2.433,-31.73,1082638800,194.9493,3.71,FISHING
2,10,2.404,-31.738,1082639580,195.4092,4.29,FISHING
2,10,2.363,-31.745,1082640720,189.6807,4.06,FISHING
2,10,2.314,-31.763,1082642400,200.1556,3.45,FISHING
2,10,2.319,-31.912,1082646000,271.9265,4.6,FISHING
2,10,2.34,-31.943,1082646900,304.1371,4.62,FISHING
2,10,2.359,-32.009,1082648880,286.0742,3.85,FISHING
2,10,2.345,-32.036,1082649600,242.5732,4.69,FISHING
2,10,2.243,-32.112,1082653200,216.6692,3.93,FISHING
2,10,2.261,-32.083,1082654820,58.1521,2.34,FISHING
2,10,2.309,-32.04,1082656800,41.8315,3.62,FISHING
2,10,2.378,-31.951,1082660400,52.1892,3.48,FISHING
2,10,2.466,-31.857,1082664360,46.8607,3.61,FISHING
2,10,2.556,-31.784,1082667600,39.0174,3.98,FISHING
2,10,2.643,-31.756,1082670540,17.8224,3.46,FISHING
2,10,2.668,-31.761,1082671200,348.702,4.3,FISHING
2,10,2.732,-31.729,1082674800,26.5389,2.21,FISHING
2,10,2.637,-31.717,1082678760,172.8083,2.69,FISHING
2,10,2.604,-31.728,1082680200,198.4172,2.69,FISHING
2,10,2.56,-31.763,1082682000,218.4731,3.47,FISHING
2,10,2.476,-31.776,1082684940,188.7893,3.21,FISHING
2,10,2.459,-31.777,1082685600,183.3634,2.87,FISHING
2,10,2.439,-31.774,1082686380,171.4768,2.88,FISHING
2,10,2.434,-31.813,1082688060,262.6885,2.6,FISHING
2,10,2.438,-31.852,1082689200,275.8621,3.82,FISHING
2,10,2.475,-31.963,1082692800,288.4531,3.61,FISHING
2,10,2.477,-31.986,1082693700,274.9749,2.85,FISHING
2,10,2.475,-32.026,1082696400,267.1358,1.65,FISHING
2,10,2.426,-32.091,1082700120,232.9655,2.43,FISHING
2,10,2.335,-32.137,1082703600,206.7974,3.26,FISHING
2,10,2.307,-32.167,1082704620,226.9521,4.47,FISHING
2,11,2.24,-32.242,1082707200,228.2036,4.33,NOT_FISHING
2,11,2.205,-32.368,1082710560,254.4672,4.32,NOT_FISHING
2,11,2.177,-32.52,1082714400,259.558,4.47,NOT_FISHING
2,11,2.163,-32.588,1082716200,258.3595,4.29,NOT_FISHING
2,11,2.149,-32.658,1082718000,258.6836,4.41,NOT_FISHING
2,11,2.144,-32.687,1082718720,260.2114,4.54,NOT_FISHING
2,12,2.144,-32.815,1082722080,270.0024,4.23,FISHING
2,12,2.201,-32.916,1082724900,299.458,4.57,FISHING
2,12,2.238,-32.975,1082726580,302.1131,4.61,FISHING
2,12,2.285,-33.053,1082728800,301.0929,4.56,FISHING
2,12,2.272,-33.174,1082732520,263.8654,3.63,FISHING
2,12,2.288,-33.226,1082733900,287.1165,4.38,FISHING
2,12,2.311,-33.301,1082736000,287.0635,4.15,FISHING
2,12,2.227,-33.403,1082739540,230.5075,4.15,FISHING
2,12,2.246,-33.308,1082743200,78.6798,2.94,FISHING
2,12,2.258,-33.209,1082746020,83.0815,3.93,FISHING
2,12,2.261,-33.18,1082746800,84.0887,4.15,FISHING
2,12,2.289,-33.073,1082749920,75.3224,3.94,FISHING
2,12,2.316,-32.93,1082754000,79.2965,3.96,FISHING
2,12,2.311,-32.885,1082755320,96.3444,3.81,FISHING
2,12,2.306,-32.855,1082756160,99.4693,4.02,FISHING
2,12,2.299,-32.804,1082757600,97.8205,3.97,FISHING
2,12,2.229,-32.723,1082761200,130.854,3.31,FISHING
2,12,2.236,-32.742,1082764800,290.2393,0.63,FISHING
2,12,2.258,-32.782,1082766300,298.8302,3.38,FISHING
2,12,2.27,-32.801,1082767140,302.2962,2.97,FISHING
2,12,2.292,-32.832,1082768400,305.3845,3.35,FISHING
2,12,2.312,-32.864,1082769660,302.0268,3.33,FISHING
2,12,2.352,-32.926,1082772000,302.8514,3.5,FISHING
2,12,2.404,-33.011,1082775600,301.4806,3.08,FISHING
2,12,2.378,-33.114,1082778960,255.8232,3.51,FISHING
2,12,2.394,-33.174,1082782800,284.945,1.8,FISHING
2,12,2.391,-33.214,1082785440,265.708,1.69,FISHING
2,12,2.383,-33.233,1082786400,247.1489,2.39,FISHING
2,12,2.317,-33.305,1082790480,227.467,2.66,FISHING
2,13,2.342,-33.408,1082793600,283.6559,3.77,NOT_FISHING
2,13,2.322,-33.483,1082795820,255.0583,3.88,NOT_FISHING
2,13,2.265,-33.498,1082797200,194.7326,4.75,NOT_FISHING
2,13,2.191,-33.606,1082801160,235.5635,3.67,NOT_FISHING
2,13,2.153,-33.715,1082804400,250.7695,3.96,NOT_FISHING
2,13,2.112,-33.806,1082807100,245.7329,4.11,NOT_FISHING
2,13,2.109,-33.841,1082808000,265.0982,4.34,NOT_FISHING
2,13,2.058,-33.872,1082809620,211.2768,4.1,NOT_FISHING
2,14,1.975,-33.906,1082812140,202.2641,3.96,FISHING
2,14,1.919,-34.008,1082815200,241.2201,4.23,FISHING
2,14,1.897,-34.018,1082815860,204.4322,4.07,FISHING
2,14,1.922,-34.084,1082818080,290.7577,3.53,FISHING
2,14,1.938,-34.112,1082818920,299.7594,4.27,FISHING
3,14,1.99,-34.239,1082822400,292.2806,4.38,FISHING
3,14,2.041,-34.329,1082825160,299.5556,4.17,FISHING
3,14,2.066,-34.351,1082826000,318.6709,4.41,FISHING
3,14,2.166,-34.449,1082829600,315.6001,4.32,FISHING
3,14,2.191,-34.486,1082830740,304.0659,4.35,FISHING
3,14,2.195,-34.424,1082833200,86.3047,2.81,FISHING
3,14,2.179,-34.329,1082835840,99.5651,4.05,FISHING
3,14,2.173,-34.291,1082836800,98.9783,4.45,FISHING
3,14,2.152,-34.161,1082840400,99.1802,4.06,FISHING
3,14,2.141,-34.104,1082842020,100.9292,3.98,FISHING
3,14,2.13,-34.036,1082844000,99.1938,3.87,FISHING
3,14,2.108,-33.908,1082847600,99.7566,4.01,FISHING
3,14,2.098,-33.866,1082848860,103.4004,3.81,FISHING
3,14,2.05,-33.795,1082851200,124.077,4.07,FISHING
3,14,1.984,-33.796,1082854800,180.8675,2.04,FISHING
3,14,1.95,-33.843,1082857560,234.1026,2.34,FISHING
3,14,1.924,-33.844,1082858400,182.2014,3.44,FISHING
3,14,1.926,-33.914,1082862000,271.6387,2.16,FISHING
3,14,1.939,-33.949,1082864040,290.3877,2.03,FISHING
3,14,1.961,-33.993,1082865600,296.5791,3.5,FISHING
3,14,2.009,-34.088,1082869200,296.8213,3.29,FISHING
3,14,2.025,-34.11,1082870220,306.0447,2.96,FISHING
3,14,2.05,-34.146,1082872800,304.7954,1.89,FISHING
3,14,2.099,-34.221,1082875860,303.1765,3.25,FISHING
3,14,2.122,-34.242,1082877000,317.6223,3.04,FISHING
3,14,2.175,-34.315,1082880000,306.0012,3.34,FISHING
3,15,2.182,-34.382,1082882040,275.97,3.67,NOT_FISHING
3,15,2.198,-34.44,1082883600,285.434,4.29,NOT_FISHING
3,15,2.222,-34.526,1082886000,285.6055,4.13,NOT_FISHING
3,15,2.234,-34.569,1082887200,285.6049,4.13,NOT_FISHING
3,15,2.229,-34.599,1082887980,260.5312,4.33,NOT_FISHING
3,15,2.202,-34.702,1082890800,255.3027,4.2,NOT_FISHING
3,15,2.178,-34.751,1082892240,243.889,4.21,NOT_FISHING
3,16,2.101,-34.797,1082894460,210.8375,4.49,FISHING
3,16,1.994,-34.866,1082897820,212.8009,4.21,FISHING
3,16,1.884,-34.882,1082900640,188.2715,4.38,FISHING
3,16,1.844,-34.876,1082901600,171.4736,4.68,FISHING
3,16,1.756,-34.857,1082903760,167.8219,4.63,FISHING
3,16,1.695,-34.844,1082905200,167.9745,4.82,FISHING
3,16,1.543,-34.815,1082908800,169.2022,4.78,FISHING
3,16,1.499,-34.828,1082910000,196.4547,4.25,FISHING
3,16,1.468,-34.841,1082910840,202.7443,4.45,FISHING
3,16,1.412,-34.868,1082912400,205.734,4.43,FISHING
3,16,1.368,-34.854,1082915880,162.3546,1.48,FISHING
3,16,1.398,-34.82,1082917020,48.5676,4.42,FISHING
3,16,1.49,-34.787,1082919600,19.7265,4.21,FISHING
3,16,1.558,-34.774,1082921520,10.8191,4.01,FISHING
3,16,1.621,-34.767,1082923200,6.3377,4.2,FISHING
3,16,1.753,-34.755,1082926800,5.192,4.09,FISHING
3,16,1.786,-34.751,1082927700,6.9079,4.11,FISHING
3,16,1.887,-34.742,1082930400,5.0894,4.18,FISHING
3,16,2.007,-34.685,1082934000,25.3939,4.1,FISHING
3,16,2.015,-34.646,1082937600,78.4002,1.23,FISHING
3,16,1.978,-34.658,1082939520,197.9591,2.25,FISHING
3,16,1.966,-34.663,1082940420,202.6079,1.61,FISHING
3,16,1.951,-34.657,1082941200,158.21,2.3,FISHING
3,16,1.896,-34.639,1082943240,161.8874,3.15,FISHING
3,16,1.847,-34.644,1082944800,185.8233,3.51,FISHING
3,16,1.724,-34.626,1082948400,171.6781,3.84,FISHING
3,16,1.682,-34.615,1082949720,165.3296,3.66,FISHING
3,16,1.659,-34.608,1082950560,163.0792,3.18,FISHING
3,16,1.613,-34.595,1082952000,164.2252,3.69,FISHING
3,16,1.532,-34.582,1082954760,170.8853,3.31,FISHING
3,16,1.503,-34.586,1082955600,187.8506,3.88,FISHING
